3198,471,3306,476,3288,830,3180,824
2982,740,3122,720,3159,976,3019,996
3203,934,3341,945,3302,1404,3164,1392
1299,999,1477,978,1539,1515,1361,1536
1129,1017,1306,1023,1279,1747,1102,1741
2965,1093,3125,1089,3148,1935,2988,1940
1787,1053,1943,1053,1943,1365,1787,1365
2748,1054,2932,1032,2997,1570,2813,1593
2229,1092,2366,1092,2366,1339,2229,1339
2360,1078,2518,1065,2571,1696,2412,1709
2611,1079,2739,1076,2754,1766,2626,1769
1586,1488,1716,1488,1716,1722,1586,1722
2015,1495,2138,1495,2138,1651,2015,1651
2022,1745,2162,1749,2151,2070,2012,2066
