827,1250,4158,1306,4151,1702,820,1647
1,1250,644,1293,620,1650,0,1607
2925,2242,3035,2242,3035,2288,2925,2288
708,2383,2220,2311,2229,2508,717,2580
3425,2545,4155,2559,4152,2685,3423,2671
1210,2666,1590,2641,1598,2761,1218,2786
814,2792,856,2766,921,2743,952,2726,995,2718,1069,2699,1115,2691,1136,2779,1091,2787,1027,2802,982,2811,943,2830,887,2850,846,2877
3893,2866,4049,2866,4049,2970,3893,2970
858,2977,975,2977,975,3055,858,3055
1335,3016,1637,3005,1640,3100,1339,3111
1059,3022,1183,3022,1183,3100,1059,3100
