1847,1008,2030,1108,2218,1211,2604,1437,2787,1548,3118,1742,3296,1850,3234,1953,3056,1845,2726,1652,2544,1541,2156,1314,1969,1212,1786,1112
2022,1246,2084,1286,2239,1381,2392,1475,2495,1532,2625,1616,2707,1666,2678,1713,2596,1663,2466,1579,2365,1523,2209,1427,2055,1332,1993,1293
1583,1269,1676,1330,1834,1433,1983,1526,2111,1600,2243,1686,2327,1737,2292,1789,2207,1738,2079,1654,1948,1579,1800,1486,1643,1384,1549,1322
1469,1456,1514,1456,1514,1495,1469,1495
1518,1466,1754,1617,1730,1655,1493,1504
1455,1476,1693,1636,1668,1673,1430,1514
1429,1515,1696,1689,1671,1728,1404,1553
1401,1551,1630,1704,1604,1743,1375,1590
1811,1654,2094,1836,2069,1875,1785,1693
2736,1696,2788,1696,2788,1761,2736,1761
1785,1693,2045,1862,2019,1901,1759,1732
2822,1725,2895,1768,2975,1814,3048,1860,3127,1910,3198,1951,3272,1994,3234,2044,3160,2002,3097,1966,3013,1913,2945,1870,2858,1819,2785,1776
1759,1731,2010,1893,1985,1933,1733,1771
1734,1769,1968,1925,1942,1964,1708,1808
2429,1795,3063,2193,3039,2231,2405,1833
2412,1824,3105,2262,3081,2300,2387,1862
2412,1866,2966,2218,2942,2255,2389,1902
2157,1878,2477,2083,2451,2124,2131,1919
2131,1918,2476,2144,2449,2185,2104,1959
2104,1958,2394,2147,2367,2188,2078,1998
2077,1999,2267,2126,2242,2164,2052,2037
2260,2121,2372,2196,2348,2232,2236,2157
2550,2133,3011,2434,2985,2474,2524,2173
2522,2175,2954,2458,2927,2499,2495,2216
3048,2203,3100,2203,3100,2249,3048,2249
