117,0,637,0,637,149,117,149
108,218,210,195,383,199,475,187,662,216,762,256,883,308,851,443,729,391,617,348,470,326,388,338,210,334,108,357
1605,1248,1781,1248,1781,1605,1605,1605
1345,1313,1469,1313,1469,1586,1345,1586
1087,1753,1261,1735,1296,2066,1122,2084
1625,1748,1761,1748,1761,1904,1625,1904
1332,1787,1514,1787,1514,2041,1332,2041
1930,1826,2093,1826,2093,2223,1930,2223
1668,2042,1843,2060,1814,2343,1639,2325
1352,2187,1551,2193,1540,2565,1340,2559
1065,2283,1251,2204,1350,2440,1164,2518
1654,2485,1828,2470,1882,3093,1707,3108
1397,2723,1521,2723,1521,2860,1397,2860
442,2990,702,2990,702,3120,442,3120
1768,3126,2275,3126,2275,3269,1768,3269
1404,3159,1638,3159,1638,3295,1404,3295
569,3257,1260,3240,1262,3352,572,3369
